id,tournament_id,stadie_id,match_order,match_ret,winner_id,winner_name,winner_citizenship,winner_age,loser_id,loser_name,loser_citizenship,loser_age,match_score,winner_sets_won,loser_sets_won,winner_games_won,loser_games_won,winner_tiebreaks_won,loser_tiebreaks_won,stats_url,match_duration,win_aces,win_double_faults,win_first_serves_in,win_first_serves_total,win_first_serve_points_won,win_first_serve_points_total,win_second_serve_points_won,win_second_serve_points_total,win_break_points_saved,win_break_points_serve_total,win_service_points_won,win_service_points_total,win_first_serve_return_won,win_first_serve_return_total,win_second_serve_return_won,win_second_serve_return_total,win_break_points_converted,win_break_points_return_total,win_service_games_played,win_return_games_played,win_return_points_won,win_return_points_total,win_total_points_won,win_total_points_total,win_winners,win_forced_errors,win_unforced_errors,win_net_points_won,win_net_points_total,win_fastest_first_serves_kmh,win_average_first_serves_kmh,win_fastest_second_serve_kmh,win_average_second_serve_kmh,los_aces,los_double_faults,los_first_serves_in,los_first_serves_total,los_first_serve_points_won,los_first_serve_points_total,los_second_serve_points_won,los_second_serve_points_total,los_break_points_saved,los_break_points_serve_total,los_service_points_won,los_service_points_total,los_first_serve_return_won,los_first_serve_return_total,los_second_serve_return_won,los_second_serve_return_total,los_break_points_converted,los_break_points_return_total,los_service_games_played,los_return_games_played,los_return_points_won,los_return_points_total,los_total_points_won,los_total_points_total,los_winners,los_forced_errors,los_unforced_errors,los_net_points_won,los_net_points_total,los_fastest_first_serves_kmh,los_average_first_serves_kmh,los_fastest_second_serve_kmh,los_average_second_serve_kmh
2008-M-DC-2008-G1-AM-M-MEX-CAN-01-800183895-800209804-RR,2008-M-DC-2008-G1-AM-M-MEX-CAN-01,RR,1,,800183895,Frederic Niemeyer,CAN,31.79,800209804,Santiago Gonzalez,MEX,24.956,64 64 76(1),3,0,19,14,1,0,https://www.daviscup.com/cup/livescores/daviscup/M-DC-2008-G1-AM-M-MEX-CAN-01_1.json,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008-M-DC-2008-G1-AM-M-MEX-CAN-01-800241943-800270768-RR,2008-M-DC-2008-G1-AM-M-MEX-CAN-01,RR,4,,800241943,Bruno Rodriguez,MEX,21.279,800270768,Vasek Pospisil,CAN,17.626,26 61 75,2,1,15,12,0,0,https://www.daviscup.com/cup/livescores/daviscup/M-DC-2008-G1-AM-M-MEX-CAN-01_4.json,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008-M-DC-2008-G1-AM-M-MEX-CAN-01-800247190-800204893-RR,2008-M-DC-2008-G1-AM-M-MEX-CAN-01,RR,2,,800247190,Peter Polansky,CAN,19.647,800204893,Bruno Echagaray,MEX,24.75,63 75 62,3,0,19,10,0,0,https://www.daviscup.com/cup/livescores/daviscup/M-DC-2008-G1-AM-M-MEX-CAN-01_2.json,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008-M-DC-2008-G1-AM-M-MEX-CAN-01-800247190-800267945-RR,2008-M-DC-2008-G1-AM-M-MEX-CAN-01,RR,5,,800247190,Peter Polansky,CAN,19.647,800267945,Cesar Ramirez,MEX,18.037,76(6) 76(4),2,0,14,12,2,0,https://www.daviscup.com/cup/livescores/daviscup/M-DC-2008-G1-AM-M-MEX-CAN-01_5.json,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008-M-DC-2008-G1-AM-M-URU-COL-01-800211932-800217401-RR,2008-M-DC-2008-G1-AM-M-URU-COL-01,RR,1,,800211932,Alejandro Falla,COL,24.233,800217401,Marcel Felder,URU,23.58,62 75 62,3,0,19,9,0,0,https://www.daviscup.com/cup/livescores/daviscup/M-DC-2008-G1-AM-M-URU-COL-01_1.json,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008-M-DC-2008-G1-AM-M-URU-COL-01-800211932-800223764-RR,2008-M-DC-2008-G1-AM-M-URU-COL-01,RR,4,,800211932,Alejandro Falla,COL,24.233,800223764,Pablo Cuevas,URU,22.102,62 63 62,3,0,18,7,0,0,https://www.daviscup.com/cup/livescores/daviscup/M-DC-2008-G1-AM-M-URU-COL-01_4.json,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008-M-DC-2008-G1-AM-M-URU-COL-01-800223764-800238659-RR,2008-M-DC-2008-G1-AM-M-URU-COL-01,RR,2,,800223764,Pablo Cuevas,URU,22.102,800238659,Santiago Giraldo,COL,20.198,64 36 57 76(6) 64,3,2,27,27,1,0,https://www.daviscup.com/cup/livescores/daviscup/M-DC-2008-G1-AM-M-URU-COL-01_2.json,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008-M-DC-2008-G1-AM-M-URU-COL-01-800238659-800217401-RR,2008-M-DC-2008-G1-AM-M-URU-COL-01,RR,5,,800238659,Santiago Giraldo,COL,20.198,800217401,Marcel Felder,URU,23.58,62 64 76(5),3,0,19,12,1,0,https://www.daviscup.com/cup/livescores/daviscup/M-DC-2008-G1-AM-M-URU-COL-01_5.json,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008-M-DC-2008-G1-AO-M-AUS-TPE-01-800199746-800221058-RR,2008-M-DC-2008-G1-AO-M-AUS-TPE-01,RR,1,,800199746,Lleyton Hewitt,AUS,26.956,800221058,Ti Chen,TPE,24.346,64 60 63,3,0,18,7,0,0,https://www.daviscup.com/cup/livescores/daviscup/M-DC-2008-G1-AO-M-AUS-TPE-01_1.json,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008-M-DC-2008-G1-AO-M-AUS-TPE-01-800205000-800266223-RR,2008-M-DC-2008-G1-AO-M-AUS-TPE-01,RR,4,,800205000,Alun Jones,AUS,27.784,800266223,Tsung-Hua Yang,TPE,16.86,46 63 62,2,1,16,11,0,0,https://www.daviscup.com/cup/livescores/daviscup/M-DC-2008-G1-AO-M-AUS-TPE-01_4.json,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
