id,tournament_id,stadie_id,match_order,match_ret,winner_id,winner_name,winner_citizenship,winner_age,loser_id,loser_name,loser_citizenship,loser_age,match_score,winner_sets_won,loser_sets_won,winner_games_won,loser_games_won,winner_tiebreaks_won,loser_tiebreaks_won,stats_url,match_duration,win_aces,win_double_faults,win_first_serves_in,win_first_serves_total,win_first_serve_points_won,win_first_serve_points_total,win_second_serve_points_won,win_second_serve_points_total,win_break_points_saved,win_break_points_serve_total,win_service_points_won,win_service_points_total,win_first_serve_return_won,win_first_serve_return_total,win_second_serve_return_won,win_second_serve_return_total,win_break_points_converted,win_break_points_return_total,win_service_games_played,win_return_games_played,win_return_points_won,win_return_points_total,win_total_points_won,win_total_points_total,win_winners,win_forced_errors,win_unforced_errors,win_net_points_won,win_net_points_total,win_fastest_first_serves_kmh,win_average_first_serves_kmh,win_fastest_second_serve_kmh,win_average_second_serve_kmh,los_aces,los_double_faults,los_first_serves_in,los_first_serves_total,los_first_serve_points_won,los_first_serve_points_total,los_second_serve_points_won,los_second_serve_points_total,los_break_points_saved,los_break_points_serve_total,los_service_points_won,los_service_points_total,los_first_serve_return_won,los_first_serve_return_total,los_second_serve_return_won,los_second_serve_return_total,los_break_points_converted,los_break_points_return_total,los_service_games_played,los_return_games_played,los_return_points_won,los_return_points_total,los_total_points_won,los_total_points_total,los_winners,los_forced_errors,los_unforced_errors,los_net_points_won,los_net_points_total,los_fastest_first_serves_kmh,los_average_first_serves_kmh,los_fastest_second_serve_kmh,los_average_second_serve_kmh
2014-M-DC-2014-G1-AO-M-NZL-CHN-01-800276980-800223418-RR,2014-M-DC-2014-G1-AO-M-NZL-CHN-01,RR,2,,800276980,Ze Zhang,CHN,23.561,800223418,Rubin Statham,NZL,26.755,67(5) 63 64 64,3,1,24,18,0,1,https://www.daviscup.com/cup/livescores/daviscup/M-DC-2014-G1-AO-M-NZL-CHN-01_2.json,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-M-DC-2014-G1-AO-M-NZL-CHN-01-800280490-800223418-RR,2014-M-DC-2014-G1-AO-M-NZL-CHN-01,RR,4,,800280490,Di Wu,CHN,22.368,800223418,Rubin Statham,NZL,26.755,67(5) 67(1) 63 75 64,3,2,31,26,0,2,https://www.daviscup.com/cup/livescores/daviscup/M-DC-2014-G1-AO-M-NZL-CHN-01_4.json,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-M-DC-2014-G1-AO-M-NZL-CHN-01-800280490-800227522-RR,2014-M-DC-2014-G1-AO-M-NZL-CHN-01,RR,1,,800280490,Di Wu,CHN,22.368,800227522,Michael Venus,NZL,26.279,36 76(4) 62 16 63,3,2,23,23,1,0,https://www.daviscup.com/cup/livescores/daviscup/M-DC-2014-G1-AO-M-NZL-CHN-01_1.json,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-M-DC-2014-G1-AM-M-DOM-URU-01-800202586-800263215-RR,2014-M-DC-2014-G1-AM-M-DOM-URU-01,RR,2,,800202586,Victor Estrella Burgos,DOM,33.494,800263215,Ariel Behar,URU,24.217,63 64 64,3,0,18,11,0,0,https://www.daviscup.com/cup/livescores/daviscup/M-DC-2014-G1-AM-M-DOM-URU-01_2.json,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-M-DC-2014-G1-AM-M-DOM-URU-01-800269755-800285451-RR,2014-M-DC-2014-G1-AM-M-DOM-URU-01,RR,1,,800269755,Jose Hernandez-Fernandez,DOM,23.881,800285451,Martin Cuevas,URU,22.045,63 76(3) 63,3,0,19,12,1,0,https://www.daviscup.com/cup/livescores/daviscup/M-DC-2014-G1-AM-M-DOM-URU-01_1.json,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-M-DC-2014-G1-AM-M-DOM-URU-01-800337764-800157897-RR,2014-M-DC-2014-G1-AM-M-DOM-URU-01,RR,4,,800337764,Jose Olivares,DOM,17.061,800157897,Rodrigo Senattore,URU,19.916,57 61 75,2,1,18,13,0,0,https://www.daviscup.com/cup/livescores/daviscup/M-DC-2014-G1-AM-M-DOM-URU-01_4.json,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-M-DC-2014-G1-AM-M-VEN-ECU-01-800245974-800273056-RR,2014-M-DC-2014-G1-AM-M-VEN-ECU-01,RR,1,,800245974,Julio-Cesar Campozano,ECU,28,800273056,David Souto,VEN,21.846,63 67(5) 46 64 62,3,2,28,22,0,1,https://www.daviscup.com/cup/livescores/daviscup/M-DC-2014-G1-AM-M-VEN-ECU-01_1.json,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-M-DC-2014-G1-AM-M-VEN-ECU-01-800265063-800273056-RR,2014-M-DC-2014-G1-AM-M-VEN-ECU-01,RR,4,,800265063,Emilio Gomez,ECU,22.174,800273056,David Souto,VEN,21.846,61 61 61,3,0,18,3,0,0,https://www.daviscup.com/cup/livescores/daviscup/M-DC-2014-G1-AM-M-VEN-ECU-01_4.json,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-M-DC-2014-G1-AM-M-VEN-ECU-01-800265063-800292680-RR,2014-M-DC-2014-G1-AM-M-VEN-ECU-01,RR,2,,800265063,Emilio Gomez,ECU,22.174,800292680,Ricardo Rodriguez - Pace,VEN,20.758,60 63 64,3,0,18,7,0,0,https://www.daviscup.com/cup/livescores/daviscup/M-DC-2014-G1-AM-M-VEN-ECU-01_2.json,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-M-DC-2014-G1-AM-M-VEN-ECU-01-800292680-800261617-RR,2014-M-DC-2014-G1-AM-M-VEN-ECU-01,RR,5,,800292680,Ricardo Rodriguez - Pace,VEN,20.758,800261617,Gonzalo Escobar,ECU,25.029,57 64 62,2,1,17,13,0,0,https://www.daviscup.com/cup/livescores/daviscup/M-DC-2014-G1-AM-M-VEN-ECU-01_5.json,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
