id,tournament_id,stadie_id,match_order,match_ret,winner_code,winner_name,winner_citizenship,winner_age,loser_code,loser_name,loser_citizenship,loser_age,winner_seed,loser_seed,match_score,winner_sets_won,loser_sets_won,winner_games_won,loser_games_won,winner_tiebreaks_won,loser_tiebreaks_won,stats_url,match_duration,win_aces,win_double_faults,win_first_serves_in,win_first_serves_total,win_first_serve_points_won,win_first_serve_points_total,win_second_serve_points_won,win_second_serve_points_total,win_break_points_saved,win_break_points_serve_total,win_service_points_won,win_service_points_total,win_first_serve_return_won,win_first_serve_return_total,win_second_serve_return_won,win_second_serve_return_total,win_break_points_converted,win_break_points_return_total,win_service_games_played,win_return_games_played,win_return_points_won,win_return_points_total,win_total_points_won,win_total_points_total,win_winners,win_forced_errors,win_unforced_errors,win_net_points_won,win_net_points_total,win_fastest_first_serves_kmh,win_average_first_serves_kmh,win_fastest_second_serve_kmh,win_average_second_serve_kmh,los_aces,los_double_faults,los_first_serves_in,los_first_serves_total,los_first_serve_points_won,los_first_serve_points_total,los_second_serve_points_won,los_second_serve_points_total,los_break_points_saved,los_break_points_serve_total,los_service_points_won,los_service_points_total,los_first_serve_return_won,los_first_serve_return_total,los_second_serve_return_won,los_second_serve_return_total,los_break_points_converted,los_break_points_return_total,los_service_games_played,los_return_games_played,los_return_points_won,los_return_points_total,los_total_points_won,los_total_points_total,los_winners,los_forced_errors,los_unforced_errors,los_net_points_won,los_net_points_total,los_fastest_first_serves_kmh,los_average_first_serves_kmh,los_fastest_second_serve_kmh,los_average_second_serve_kmh
2021-M-DC-2021-QLS-M-ARG-COL-01-ge33-lb84-RR,2021-M-DC-2021-QLS-M-ARG-COL-01,RR,4,,ge33,Daniel Elahi Galan,COL,23.717,lb84,Juan Ignacio Londero,ARG,26.559,,,63 64,2,0,12,7,0,0,https://www.daviscup.com/cup/livescores/daviscup/M-DC-2021-QLS-M-ARG-COL-01_4.json,75,11,0,30,50,25,30,17,20,1,1,67,50,8,33,14,26,2,3,,,22,59,64,109,7,11,19,4,7,,,,,0,3,33,59,25,33,12,26,1,3,71,59,5,30,3,20,0,1,,,8,50,45,109,15,14,28,1,2,,,,
2021-M-DC-2021-QLS-M-ARG-COL-01-ge33-md56-RR,2021-M-DC-2021-QLS-M-ARG-COL-01,RR,1,,ge33,Daniel Elahi Galan,COL,23.717,md56,Leonardo Mayer,ARG,32.809,,,61 64,2,0,12,5,0,0,https://www.daviscup.com/cup/livescores/daviscup/M-DC-2021-QLS-M-ARG-COL-01_1.json,68,3,2,28,42,22,28,8,14,1,3,50,42,9,25,17,24,5,7,,,26,49,56,91,6,15,13,4,6,,,,,0,5,25,49,16,25,7,24,2,7,56,49,6,28,6,14,2,3,,,12,42,35,91,5,20,22,7,10,,,,
2021-M-DC-2021-QLS-M-ARG-COL-01-lb84-g725-RR,2021-M-DC-2021-QLS-M-ARG-COL-01,RR,2,,lb84,Juan Ignacio Londero,ARG,26.559,g725,Santiago Giraldo,COL,32.276,,,67(6) 63 62,2,1,18,12,0,1,https://www.daviscup.com/cup/livescores/daviscup/M-DC-2021-QLS-M-ARG-COL-01_2.json,138,5,6,48,82,40,48,17,34,2,4,99,82,21,64,27,47,6,15,,,48,111,105,193,17,38,22,3,5,,,,,4,4,64,111,43,64,20,47,9,15,131,111,8,48,17,34,2,4,,,25,82,88,193,18,40,39,0,2,,,,
2021-M-DC-2021-QLS-M-AUS-BRA-01-mh30-mj08-RR,2021-M-DC-2021-QLS-M-AUS-BRA-01,RR,4,,mh30,John Millman,AUS,30.728,mj08,Thiago Monteiro,BRA,25.766,,,67(6) 76(3) 76(3),2,1,20,19,2,1,https://www.daviscup.com/cup/livescores/daviscup/M-DC-2021-QLS-M-AUS-BRA-01_4.json,185,10,3,64,104,57,64,24,40,2,3,128,104,22,87,17,39,1,10,,,39,126,120,230,18,20,43,0,3,200,189,158,142,17,1,87,126,65,87,22,39,9,10,148,126,7,64,16,40,1,3,,,23,104,110,230,27,12,79,0,1,211,191,167,146
2021-M-DC-2021-QLS-M-AUS-BRA-01-mh30-sx91-RR,2021-M-DC-2021-QLS-M-AUS-BRA-01,RR,2,,mh30,John Millman,AUS,30.728,sx91,Thiago Seyboth Wild,BRA,19.989,,,46 76(0) 62,2,1,17,14,1,0,https://www.daviscup.com/cup/livescores/daviscup/M-DC-2021-QLS-M-AUS-BRA-01_2.json,171,6,0,67,98,50,67,14,31,9,12,112,98,20,65,27,44,4,16,,,47,109,111,207,16,17,49,2,6,201,190,159,150,5,6,65,109,45,65,17,44,12,16,126,109,17,67,17,31,3,12,,,34,98,96,207,25,10,73,0,4,212,195,187,149
2021-M-DC-2021-QLS-M-AUS-BRA-01-tc61-mj08-RR,2021-M-DC-2021-QLS-M-AUS-BRA-01,RR,1,,tc61,Jordan Thompson,AUS,25.879,mj08,Thiago Monteiro,BRA,25.766,,,64 64,2,0,12,8,0,0,https://www.daviscup.com/cup/livescores/daviscup/M-DC-2021-QLS-M-AUS-BRA-01_1.json,84,5,0,43,53,32,43,6,10,0,1,59,53,13,41,10,16,3,4,,,23,57,61,110,9,5,28,0,4,209,184,143,136,3,1,41,57,28,41,6,16,1,4,63,57,11,43,4,10,1,1,,,15,53,49,110,13,9,36,1,3,215,193,167,155
2021-M-DC-2021-QLS-M-AUT-URU-01-c882-r09x-RR,2021-M-DC-2021-QLS-M-AUT-URU-01,RR,2,,c882,Pablo Cuevas,URU,34.18,r09x,Jurij Rodionov,AUT,20.806,,,67(7) 63 76(5),2,1,19,16,1,1,https://www.daviscup.com/cup/livescores/daviscup/M-DC-2021-QLS-M-AUT-URU-01_2.json,169,12,2,75,105,61,75,17,30,0,0,122,105,23,84,18,34,1,6,,,41,118,119,223,25,33,45,1,18,219,188,179,159,9,3,84,118,61,84,16,34,5,6,134,118,14,75,13,30,0,0,,,27,105,104,223,15,26,53,4,25,214,179,148,133
2021-M-DC-2021-QLS-M-AUT-URU-01-db59-c882-RR,2021-M-DC-2021-QLS-M-AUT-URU-01,RR,4,,db59,Dennis Novak,AUT,26.524,c882,Pablo Cuevas,URU,34.18,,,26 63 64,2,1,14,13,0,0,https://www.daviscup.com/cup/livescores/daviscup/M-DC-2021-QLS-M-AUT-URU-01_4.json,99,5,2,47,72,35,47,17,25,2,4,89,72,11,51,14,25,2,8,,,25,76,77,148,16,19,32,1,16,214,189,180,157,8,2,51,76,40,51,11,25,6,8,87,76,12,47,8,25,2,4,,,20,72,71,148,10,28,26,0,22,214,187,174,157
2021-M-DC-2021-QLS-M-AUT-URU-01-db59-cc98-RR,2021-M-DC-2021-QLS-M-AUT-URU-01,RR,1,,db59,Dennis Novak,AUT,26.524,cc98,Martin Cuevas,URU,28.145,,,62 64,2,0,12,6,0,0,https://www.daviscup.com/cup/livescores/daviscup/M-DC-2021-QLS-M-AUT-URU-01_1.json,78,6,1,34,49,26,34,11,15,1,1,60,49,16,49,19,29,3,17,,,35,78,72,127,19,14,31,0,8,209,184,165,151,3,4,49,78,33,49,10,29,14,17,88,78,8,34,4,15,0,1,,,12,49,55,127,6,18,25,0,14,213,206,184,173
2021-M-DC-2021-QLS-M-BEL-HUN-01-bd80-cg33-RR,2021-M-DC-2021-QLS-M-BEL-HUN-01,RR,4,,bd80,Attila Balazs,HUN,31.443,cg33,Kimmer Coppejans,BEL,26.08,,,63 60,2,0,12,3,0,0,https://www.daviscup.com/cup/livescores/daviscup/M-DC-2021-QLS-M-BEL-HUN-01_4.json,80,3,5,30,54,22,30,14,24,3,3,68,54,7,21,13,20,4,7,,,20,41,56,95,6,11,17,6,9,211,192,174,166,0,1,21,41,14,21,7,20,3,7,48,41,8,30,10,24,0,3,,,18,54,39,95,6,22,24,4,6,194,181,172,144
