id,tournament_id,stadie_id,match_order,match_ret,winner_code,winner_name,winner_citizenship,winner_age,loser_code,loser_name,loser_citizenship,loser_age,winner_seed,loser_seed,match_score,winner_sets_won,loser_sets_won,winner_games_won,loser_games_won,winner_tiebreaks_won,loser_tiebreaks_won,stats_url,match_duration,win_aces,win_double_faults,win_first_serves_in,win_first_serves_total,win_first_serve_points_won,win_first_serve_points_total,win_second_serve_points_won,win_second_serve_points_total,win_break_points_saved,win_break_points_serve_total,win_service_points_won,win_service_points_total,win_first_serve_return_won,win_first_serve_return_total,win_second_serve_return_won,win_second_serve_return_total,win_break_points_converted,win_break_points_return_total,win_service_games_played,win_return_games_played,win_return_points_won,win_return_points_total,win_total_points_won,win_total_points_total,win_winners,win_forced_errors,win_unforced_errors,win_net_points_won,win_net_points_total,win_fastest_first_serves_kmh,win_average_first_serves_kmh,win_fastest_second_serve_kmh,win_average_second_serve_kmh,los_aces,los_double_faults,los_first_serves_in,los_first_serves_total,los_first_serve_points_won,los_first_serve_points_total,los_second_serve_points_won,los_second_serve_points_total,los_break_points_saved,los_break_points_serve_total,los_service_points_won,los_service_points_total,los_first_serve_return_won,los_first_serve_return_total,los_second_serve_return_won,los_second_serve_return_total,los_break_points_converted,los_break_points_return_total,los_service_games_played,los_return_games_played,los_return_points_won,los_return_points_total,los_total_points_won,los_total_points_total,los_winners,los_forced_errors,los_unforced_errors,los_net_points_won,los_net_points_total,los_fastest_first_serves_kmh,los_average_first_serves_kmh,los_fastest_second_serve_kmh,los_average_second_serve_kmh
2026-9900-ag37-z371-RR,2026-9900,RR,,,ag37,Felix Auger-Aliassime,CAN,25.4,z371,Zhizhen Zhang,CHN,29.212,2,18,64 64,2,0,12,8,0,0,https://www.atptour.com/en/scores/match-stats/archive/2026/9900/ms221,87,6,0,37,55,32,37,10,18,1,1,42,55,11,34,9,21,2,2,10,10,20,55,62,110,,,,,,,,,,2,2,34,55,23,34,12,21,0,2,35,55,5,37,8,18,0,1,10,10,13,55,48,110,,,,,,,,,
2026-9900-b0bi-fb98-RR,2026-9900,RR,,,b0bi,Sebastian Baez,ARG,25.013,fb98,Taylor Fritz,USA,28.18,14,1,46 75 64,2,1,17,15,0,0,https://www.atptour.com/en/scores/match-stats/archive/2026/9900/ms121,153,4,0,80,107,51,80,16,27,8,11,67,107,13,56,25,46,4,8,16,16,38,102,105,209,,,,,,,,,,23,2,56,102,43,56,21,46,4,8,64,102,29,80,11,27,3,11,16,16,40,107,104,209,,,,,,,,,
2026-9900-b0bi-mu94-RR,2026-9900,RR,,,b0bi,Sebastian Baez,ARG,25.013,mu94,Jaume Munar,ESP,28.658,14,10,64 64,2,0,12,8,0,0,https://www.atptour.com/en/scores/match-stats/archive/2026/9900/ms131,103,0,2,46,71,27,46,15,25,4,6,42,71,14,39,7,13,4,6,10,10,21,52,63,123,,,,,,,,,,7,0,39,52,25,39,6,13,2,6,31,52,19,46,10,25,2,6,10,10,29,71,60,123,,,,,,,,,
2026-9900-bu13-ag37-RR,2026-9900,RR,,,bu13,Zizou Bergs,BEL,26.58,ag37,Felix Auger-Aliassime,CAN,25.4,7,2,64 62,2,0,12,6,0,0,https://www.atptour.com/en/scores/match-stats/archive/2026/9900/ms211,88,4,0,30,50,22,30,16,20,5,5,38,50,10,38,18,24,3,10,9,9,28,62,66,112,,,,,,,,,,8,5,38,62,28,38,6,24,7,10,34,62,8,30,4,20,0,5,9,9,12,50,46,112,,,,,,,,,
2026-9900-c0e9-w367-RR,2026-9900,RR,,,c0e9,Flavio Cobolli,ITA,23.655,w367,Stan Wawrinka,SUI,40.763,3,16,64 67(2) 76(4),2,1,19,17,1,1,https://www.atptour.com/en/scores/match-stats/archive/2026/9900/ms321,175,8,1,55,101,41,55,33,46,0,0,74,101,12,61,16,43,1,4,17,17,28,104,102,205,,,,,,,,,,8,3,61,104,49,61,27,43,3,4,76,104,14,55,13,46,0,0,17,17,27,101,103,205,,,,,,,,,
2026-9900-dh58-m0ni-RR,2026-9900,RR,,,dh58,Alex de Minaur,AUS,26.876,m0ni,Jakub Mensik,CZE,20.336,4,11,64 61,2,0,12,5,0,0,https://www.atptour.com/en/scores/match-stats/archive/2026/9900/ms411,91,4,0,38,62,26,38,14,24,4,4,40,62,11,34,16,24,4,6,8,9,27,58,67,120,,,,,,,,,,3,3,34,58,23,34,8,24,2,6,31,58,12,38,10,24,0,4,9,8,22,62,53,120,,,,,,,,,
2026-9900-fb98-mu94-RR,2026-9900,RR,,,fb98,Taylor Fritz,USA,28.18,mu94,Jaume Munar,ESP,28.658,1,10,76(4) 36 76(6),2,1,17,18,2,0,https://www.atptour.com/en/scores/match-stats/archive/2026/9900/ms111,193,16,7,75,112,60,75,18,37,5,6,78,112,10,72,26,50,0,2,16,17,36,122,114,234,,,,,,,,,,14,5,72,122,62,72,24,50,2,2,86,122,15,75,19,37,1,6,17,16,34,112,120,234,,,,,,,,,
2026-9900-hb71-gj37-RR,2026-9900,RR,,,hb71,Hubert Hurkacz,POL,28.892,gj37,Tallon Griekspoor,NED,29.5,9,15,63 76(4),2,0,13,9,1,0,https://www.atptour.com/en/scores/match-stats/archive/2026/9900/ms631,82,21,0,41,55,37,41,11,14,0,0,48,55,13,39,7,20,1,1,11,10,20,59,68,114,,,,,,,,,,4,0,39,59,26,39,13,20,0,1,39,59,4,41,3,14,0,0,10,11,7,55,46,114,,,,,,,,,
2026-9900-hb71-z355-RR,2026-9900,RR,,,hb71,Hubert Hurkacz,POL,28.892,z355,Alexander Zverev,GER,28.701,9,6,63 64,2,0,12,7,0,0,https://www.atptour.com/en/scores/match-stats/archive/2026/9900/ms611,82,21,0,41,63,35,41,9,22,1,1,44,63,15,40,0,6,2,3,10,9,15,46,59,109,,,,,,,,,,7,0,40,46,25,40,6,6,1,3,31,46,6,41,13,22,0,1,9,10,19,63,50,109,,,,,,,,,
2026-9900-hd68-m0hu-RR,2026-9900,RR,,,hd68,Billy Harris,GBR,30.938,m0hu,Shintaro Mochizuki,JPN,22.583,5,13,76(4) 63,2,0,13,9,1,0,https://www.atptour.com/en/scores/match-stats/archive/2026/9900/ms521,110,4,3,41,70,30,41,16,29,4,6,46,70,6,27,23,41,3,4,11,10,29,68,75,138,,,,,,,,,,4,6,27,68,21,27,18,41,1,4,39,68,11,41,13,29,2,6,10,11,24,70,63,138,,,,,,,,,
